SKU,Product Name,Product Class,Product Category,Product Subcategory,Product Model#,Processor,Processor Description,GHz,Screen Size,RAM,Resolution,GPU,VRAM,HD,HD Type,Color,Carrier,Year,Model ID,UPC,Type,Spec,Charger
CPONA-0207A,"zNitro IPH6V55CLZ, iPhone Screen Protector 6+,",Case,iPhone Screen Protector,6+,IPH6V55CLZ,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
CPOOR-0157A,"Insten iPhone 6, Orange",Case,iPhone,6,NA,NA,NA,NA,NA,NA,,,,NA,NA,Orange,NA,,,,,,NA
CPORD-0124A,"MD503ZM/B, iPhone 4/4s, Red",Case,iPhone,4/4s,MD503ZM/B,NA,NA,NA,NA,NA,,,,NA,NA,Red,NA,,,,,,NA
CPOWH-0133A,"MF039ZM/A, iPhone 5c, White",Case,iPhone,5c,MF039ZM/A,NA,NA,NA,NA,NA,,,,NA,NA,White,NA,,,,,,NA
CPOYW-0134A,"MF038ZM/A, iPhone 5c, Yellow",Case,iPhone,5c,MF038ZM/A,NA,NA,NA,NA,NA,,,,NA,NA,Yellow,NA,,,,,,NA
PHPNA-0287A,"HP WX412AA # ABA, Mice and Keyboards Mouse, Silver",Peripheral,Mice and Keyboards,Mouse,WX412AA # ABA,NA,NA,NA,NA,NA,,,,NA,NA,Silver,NA,,,,,,NA
PKTNA-0284A,"Kingston dt100g3/64gb, Flashdrives USB, 64GB Black",Storage,Flashdrives,USB,dt100g3/64gb,NA,NA,NA,NA,NA,,,,64GB,NA,Black,NA,,,,,,NA
PSMNA-0282A,"AP70NS50 BK, External ODD DVD±RW DL USB, Silver",Peripheral,External ODD,DVD±RW DL USB,AP70NS50 BK,NA,NA,NA,NA,NA,,,,NA,NA,Silver,NA,,,,,,NA
SBCNA-0309A,"The Bouncer BOUNCER-BLK-BOX, Bluetooth Speakers Portable, Black",Stereo,Bluetooth Speakers,Portable,BOUNCER-BLK-BOX,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
BBGBK-0033A,"Cocoon CLB408BY, Laptop Bags Up to 16"", Black",Bag,Laptop Bags,"Up to 16""",CLB408BY,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
BBGNA-0035A,"ECBC B7302-30, Laptop Bags Up to 17"", Grey",Bag,Laptop Bags,"Up to 17""",B7302-30,NA,NA,NA,NA,NA,,,,NA,NA,Grey,NA,,,,,,NA
BBGNA-0036A,"Icon LPFILE16-BLK, Laptop Bags Up to 16"", Black",Bag,Laptop Bags,"Up to 16""",LPFILE16-BLK,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
BBGRD-0034A,"Cocoon CLB408RD, Laptop Bags Up to 16"", Red",Bag,Laptop Bags,"Up to 16""",CLB408RD,NA,NA,NA,NA,NA,,,,NA,NA,Red,NA,,,,,,NA
BBPNA-0029A,"Olympia BP-3400_KhaKi, Laptop Backpack Up to 16"", Khaki",Bag,Laptop Backpack,"Up to 16""",BP-3400_KhaKi,NA,NA,NA,NA,NA,,,,NA,NA,Khaki,NA,,,,,,NA
BBPNA-0030A,"Olympia BP-2300_Black, Laptop Backpack Up to 15.6"", Black",Bag,Laptop Backpack,"Up to 15.6""",BP-2300_Black,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
BBPNA-0031A,"ProHT 2448, Laptop Backpack Up to 15.6"", Black",Bag,Laptop Backpack,"Up to 15.6""",2448,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
BLSNA-0045A,"Solo Laptop Bags Up to 15.6"", Black",Bag,Laptop Bags,"Up to 15.6""",NA,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPDBK-0055A,"Allant AL-1781-02, iPad 2/3/4, Black",Case,iPad,2/3/4,AL-1781-02,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPDBK-0079A,"Shock Proof Kid Case, iPad Air 1/2, Black",Case,iPad,Air 1/2,Shock Proof Kid Case,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPDBU-0080A,"Shock Proof Kid Case, iPad Air 1/2, Blue",Case,iPad,Air 1/2,Shock Proof Kid Case,NA,NA,NA,NA,NA,,,,NA,NA,Blue,NA,,,,,,NA
CPDCL-0085A,"zNitro IPDAIRNGTCLZ, iPad Screen Protector Air 1, Clear",Case,iPad Screen Protector,Air 1,IPDAIRNGTCLZ,NA,NA,NA,NA,NA,,,,NA,NA,Clear,NA,,,,,,NA
CPDGN-0063A,"Smart, iPad 2/3/4, Green",Case,iPad,2/3/4,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Green,NA,,,,,,NA
CPDGN-0066A,"Shock Proof Kid Case, iPad 2/3/4, Green",Case,iPad,2/3/4,Shock Proof Kid Case,NA,NA,NA,NA,NA,,,,NA,NA,Green,NA,,,,,,NA
CPDGN-0097A,"Shock Proof Kid Case, iPad Mini 1/2/3, Green",Case,iPad,Mini 1/2/3,Shock Proof Kid Case,NA,NA,NA,NA,NA,,,,NA,NA,Green,NA,,,,,,NA
CPDGY-0103A,"Smart, iPad Mini, Gray",Case,iPad,Mini,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Gray,NA,,,,,,NA
CPDNA-0061A,"In Stock iPad 2/3/4,",Case,iPad,2/3/4,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,,,,,NA
CPDNA-0091A,"Tactus MT008, iPad Air 1, Black",Case,iPad,Air 1,MT008,NA,NA,NA,NA,NA,,,,NA,NA,Black,NA,,,,,,NA
CPDOR-0081A,"Shock Proof Kid Case, iPad Air 1/2, Orange",Case,iPad,Air 1/2,Shock Proof Kid Case,NA,NA,NA,NA,NA,,,,NA,NA,Orange,NA,,,,,,NA
CPDOR-0098A,"Shock Proof Kid Case, iPad Mini 1/2/3, Orange",Case,iPad,Mini 1/2/3,Shock Proof Kid Case,NA,NA,NA,NA,NA,,,,NA,NA,Orange,NA,,,,,,NA
CPDPK-0076A,"Smart, iPad Air 1, Pink",Case,iPad,Air 1,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Pink,NA,,,,,,NA
CPDPK-0105A,"Smart, iPad Mini, Pink",Case,iPad,Mini,Smart,NA,NA,NA,NA,NA,,,,NA,NA,Pink,NA,,,,,,NA
CPDPU-0082A,"Shock Proof Kid Case, iPad Air 1/2, Purple",Case,iPad,Air 1/2,Shock Proof Kid Case,NA,NA,NA,NA,NA,,,,NA,NA,Purple,NA,,,,,,NA
CPDPU-0100A,"Shock Proof Kid Case, iPad Mini 1/2/3, Purple",Case,iPad,Mini 1/2/3,Shock Proof Kid Case,NA,NA,NA,NA,NA,,,,NA,NA,Purple,NA,,,,,,NA
CPDRD-0060A,"Gumdrop DS-IPAD3-BLK-RED, iPad 2/3/4, Red",Case,iPad,2/3/4,DS-IPAD3-BLK-RED,NA,NA,NA,NA,NA,,,,NA,NA,Red,NA,,,,,,NA
CPDRD-0083A,"Shock Proof Kid Case, iPad Air 1/2, Red",Case,iPad,Air 1/2,Shock Proof Kid Case,NA,NA,NA,NA,NA,,,,NA,NA,Red,NA,,,,,,NA
